a 2
a 3
a 4
a 5
a 6
a 7
b 2
b 3
b 4
b 5
b 6
b 7
c 2
c 3
c 4
c 5
c 6
c 7
d 2
d 3
d 4
d 5
d 6
d 7
e 2
e 3
e 4
e 5
e 6
e 7
f 2
f 3
f 4
f 5
f 6
f 7
g 2
g 3
g 4
g 5
g 6
g 7
h 2
h 3
h 4
h 5
h 6
h 7
takes
a takes
b takes
c takes
d takes
e takes
f takes
g takes
h takes
a 1 rook
a 8 rook
b 1 rook
b 8 rook
c 1 rook
c 8 rook
d 1 rook
d 8 rook
e 1 rook
e 8 rook
f 1 rook
f 8 rook
g 1 rook
g 8 rook
h 1 rook
h 8 rook
king a 1
king a 2
king a 3
king a 4
king a 5
king a 6
king a 7
king a 8
king b 1
king b 2
king b 3
king b 4
king b 5
king b 6
king b 7
king b 8
king c 1
king c 2
king c 3
king c 4
king c 5
king c 6
king c 7
king c 8
king d 1
king d 2
king d 3
king d 4
king d 5
king d 6
king d 7
king d 8
king e 1
king e 2
king e 3
king e 4
king e 5
king e 6
king e 7
king e 8
king f 1
king f 2
king f 3
king f 4
king f 5
king f 6
king f 7
king f 8
king g 1
king g 2
king g 3
king g 4
king g 5
king g 6
king g 7
king g 8
king h 1
king h 2
king h 3
king h 4
king h 5
king h 6
king h 7
king h 8
rook a 1
rook a 2
rook a 3
rook a 4
rook a 5
rook a 6
rook a 7
rook a 8
rook b 1
rook b 2
rook b 3
rook b 4
rook b 5
rook b 6
rook b 7
rook b 8
rook c 1
rook c 2
rook c 3
rook c 4
rook c 5
rook c 6
rook c 7
rook c 8
rook d 1
rook d 2
rook d 3
rook d 4
rook d 5
rook d 6
rook d 7
rook d 8
rook e 1
rook e 2
rook e 3
rook e 4
rook e 5
rook e 6
rook e 7
rook e 8
rook f 1
rook f 2
rook f 3
rook f 4
rook f 5
rook f 6
rook f 7
rook f 8
rook g 1
rook g 2
rook g 3
rook g 4
rook g 5
rook g 6
rook g 7
rook g 8
rook h 1
rook h 2
rook h 3
rook h 4
rook h 5
rook h 6
rook h 7
rook h 8
a 1 queen
a 8 queen
b 1 queen
b 8 queen
c 1 queen
c 8 queen
d 1 queen
d 8 queen
e 1 queen
e 8 queen
f 1 queen
f 8 queen
g 1 queen
g 8 queen
h 1 queen
h 8 queen
queen a 1
queen a 2
queen a 3
queen a 4
queen a 5
queen a 6
queen a 7
queen a 8
queen b 1
queen b 2
queen b 3
queen b 4
queen b 5
queen b 6
queen b 7
queen b 8
queen c 1
queen c 2
queen c 3
queen c 4
queen c 5
queen c 6
queen c 7
queen c 8
queen d 1
queen d 2
queen d 3
queen d 4
queen d 5
queen d 6
queen d 7
queen d 8
queen e 1
queen e 2
queen e 3
queen e 4
queen e 5
queen e 6
queen e 7
queen e 8
queen f 1
queen f 2
queen f 3
queen f 4
queen f 5
queen f 6
queen f 7
queen f 8
queen g 1
queen g 2
queen g 3
queen g 4
queen g 5
queen g 6
queen g 7
queen g 8
queen h 1
queen h 2
queen h 3
queen h 4
queen h 5
queen h 6
queen h 7
queen h 8
takes a 1
takes a 2
takes a 3
takes a 4
takes a 5
takes a 6
takes a 7
takes a 8
takes b 1
takes b 2
takes b 3
takes b 4
takes b 5
takes b 6
takes b 7
takes b 8
takes c 1
takes c 2
takes c 3
takes c 4
takes c 5
takes c 6
takes c 7
takes c 8
takes d 1
takes d 2
takes d 3
takes d 4
takes d 5
takes d 6
takes d 7
takes d 8
takes e 1
takes e 2
takes e 3
takes e 4
takes e 5
takes e 6
takes e 7
takes e 8
takes f 1
takes f 2
takes f 3
takes f 4
takes f 5
takes f 6
takes f 7
takes f 8
takes g 1
takes g 2
takes g 3
takes g 4
takes g 5
takes g 6
takes g 7
takes g 8
takes h 1
takes h 2
takes h 3
takes h 4
takes h 5
takes h 6
takes h 7
takes h 8
a 1 bishop
a 1 knight
a 8 bishop
a 8 knight
b 1 bishop
b 1 knight
b 8 bishop
b 8 knight
bishop a 1
bishop a 2
bishop a 3
bishop a 4
bishop a 5
bishop a 6
bishop a 7
bishop a 8
bishop b 1
bishop b 2
bishop b 3
bishop b 4
bishop b 5
bishop b 6
bishop b 7
bishop b 8
bishop c 1
bishop c 2
bishop c 3
bishop c 4
bishop c 5
bishop c 6
bishop c 7
bishop c 8
bishop d 1
bishop d 2
bishop d 3
bishop d 4
bishop d 5
bishop d 6
bishop d 7
bishop d 8
bishop e 1
bishop e 2
bishop e 3
bishop e 4
bishop e 5
bishop e 6
bishop e 7
bishop e 8
bishop f 1
bishop f 2
bishop f 3
bishop f 4
bishop f 5
bishop f 6
bishop f 7
bishop f 8
bishop g 1
bishop g 2
bishop g 3
bishop g 4
bishop g 5
bishop g 6
bishop g 7
bishop g 8
bishop h 1
bishop h 2
bishop h 3
bishop h 4
bishop h 5
bishop h 6
bishop h 7
bishop h 8
c 1 bishop
c 1 knight
c 8 bishop
c 8 knight
d 1 bishop
d 1 knight
d 8 bishop
d 8 knight
e 1 bishop
e 1 knight
e 8 bishop
e 8 knight
f 1 bishop
f 1 knight
f 8 bishop
f 8 knight
g 1 bishop
g 1 knight
g 8 bishop
g 8 knight
h 1 bishop
h 1 knight
h 8 bishop
h 8 knight
king takes
knight a 1
knight a 2
knight a 3
knight a 4
knight a 5
knight a 6
knight a 7
knight a 8
knight b 1
knight b 2
knight b 3
knight b 4
knight b 5
knight b 6
knight b 7
knight b 8
knight c 1
knight c 2
knight c 3
knight c 4
knight c 5
knight c 6
knight c 7
knight c 8
knight d 1
knight d 2
knight d 3
knight d 4
knight d 5
knight d 6
knight d 7
knight d 8
knight e 1
knight e 2
knight e 3
knight e 4
knight e 5
knight e 6
knight e 7
knight e 8
knight f 1
knight f 2
knight f 3
knight f 4
knight f 5
knight f 6
knight f 7
knight f 8
knight g 1
knight g 2
knight g 3
knight g 4
knight g 5
knight g 6
knight g 7
knight g 8
knight h 1
knight h 2
knight h 3
knight h 4
knight h 5
knight h 6
knight h 7
knight h 8
rook 1 a 2
rook 1 a 3
rook 1 a 4
rook 1 a 5
rook 1 a 6
rook 1 a 7
rook 1 b 2
rook 1 b 3
rook 1 b 4
rook 1 b 5
rook 1 b 6
rook 1 b 7
rook 1 c 2
rook 1 c 3
rook 1 c 4
rook 1 c 5
rook 1 c 6
rook 1 c 7
rook 1 d 2
rook 1 d 3
rook 1 d 4
rook 1 d 5
rook 1 d 6
rook 1 d 7
rook 1 e 2
rook 1 e 3
rook 1 e 4
rook 1 e 5
rook 1 e 6
rook 1 e 7
rook 1 f 2
rook 1 f 3
rook 1 f 4
rook 1 f 5
rook 1 f 6
rook 1 f 7
rook 1 g 2
rook 1 g 3
rook 1 g 4
rook 1 g 5
rook 1 g 6
rook 1 g 7
rook 1 h 2
rook 1 h 3
rook 1 h 4
rook 1 h 5
rook 1 h 6
rook 1 h 7
rook 2 a 2
rook 2 a 3
rook 2 a 4
rook 2 a 5
rook 2 a 6
rook 2 a 7
rook 2 b 2
rook 2 b 3
rook 2 b 4
rook 2 b 5
rook 2 b 6
rook 2 b 7
rook 2 c 2
rook 2 c 3
rook 2 c 4
rook 2 c 5
rook 2 c 6
rook 2 c 7
rook 2 d 2
rook 2 d 3
rook 2 d 4
rook 2 d 5
rook 2 d 6
rook 2 d 7
rook 2 e 2
rook 2 e 3
rook 2 e 4
rook 2 e 5
rook 2 e 6
rook 2 e 7
rook 2 f 2
rook 2 f 3
rook 2 f 4
rook 2 f 5
rook 2 f 6
rook 2 f 7
rook 2 g 2
rook 2 g 3
rook 2 g 4
rook 2 g 5
rook 2 g 6
rook 2 g 7
rook 2 h 2
rook 2 h 3
rook 2 h 4
rook 2 h 5
rook 2 h 6
rook 2 h 7
rook 3 a 2
rook 3 a 3
rook 3 a 4
rook 3 a 5
rook 3 a 6
rook 3 a 7
rook 3 b 2
rook 3 b 3
rook 3 b 4
rook 3 b 5
rook 3 b 6
rook 3 b 7
rook 3 c 2
rook 3 c 3
rook 3 c 4
rook 3 c 5
rook 3 c 6
rook 3 c 7
rook 3 d 2
rook 3 d 3
rook 3 d 4
rook 3 d 5
rook 3 d 6
rook 3 d 7
rook 3 e 2
rook 3 e 3
rook 3 e 4
rook 3 e 5
rook 3 e 6
rook 3 e 7
rook 3 f 2
rook 3 f 3
rook 3 f 4
rook 3 f 5
rook 3 f 6
rook 3 f 7
rook 3 g 2
rook 3 g 3
rook 3 g 4
rook 3 g 5
rook 3 g 6
rook 3 g 7
rook 3 h 2
rook 3 h 3
rook 3 h 4
rook 3 h 5
rook 3 h 6
rook 3 h 7
rook 4 a 2
rook 4 a 3
rook 4 a 4
rook 4 a 5
rook 4 a 6
rook 4 a 7
rook 4 b 2
rook 4 b 3
rook 4 b 4
rook 4 b 5
rook 4 b 6
rook 4 b 7
rook 4 c 2
rook 4 c 3
rook 4 c 4
rook 4 c 5
rook 4 c 6
rook 4 c 7
rook 4 d 2
rook 4 d 3
rook 4 d 4
rook 4 d 5
rook 4 d 6
rook 4 d 7
rook 4 e 2
rook 4 e 3
rook 4 e 4
rook 4 e 5
rook 4 e 6
rook 4 e 7
rook 4 f 2
rook 4 f 3
rook 4 f 4
rook 4 f 5
rook 4 f 6
rook 4 f 7
rook 4 g 2
rook 4 g 3
rook 4 g 4
rook 4 g 5
rook 4 g 6
rook 4 g 7
rook 4 h 2
